Date,Last_km,total_km,L,Price
27/04/2018,517.8,45875,35.78,41.5
14/04/2018,561.4,45357,36.49,42
06/04/18,637.2,44796,37,42
21/03/2018,667,44159,40.36,45
15/02/2018,675.5,42991,40.22,45
26/01/2018,541,41675,33.52,45.22
07/01/16,,,27.43,40
20/03/2015,,,40.3,53.96
16/10/2015,626.8,8793,40.01,48.81
02/10/15,,8171,33.75,38.34
24/10/2015,,,19349,21.61
20/11/2015,695,,40,44.68
03/12/15,,,39.03,43.99
27/12/2015,590.2,10881,40,43.56
10/01/16,,12049,38.66,42.1
13/02/2016,559.8,13140,40,40.72
21/01/16,,12588,34.32,36
03/03/16,602.1,13750,40,40.72
24/03/2016,607,14357,39.86,42.57
16/04/2016,553.4,15296,32.44,35
28/03/2016,,,37.31,40
10/05/16,536.5,15833,39.84,43.66
24/06/2017,607.4,29913,38.12,43
10/07/16,514.3,18964,37.43,44.5
04/06/16,180,17157,40.72,45.52
29/05/2016,635.9,6977,11.95,15
23/06/2016,524.7,17682,46.81,53.13
27/07/2016,560,19525,37.9,40.86
20/08/2016,587.8,20670,32.71,34.93
28/09/2016,588,21919,39.5,47.01
26/06/2016,768.6,15480,40,47.56
21/11/2016,601.9,23587,41.92,49.42
30/08/2016,660,21331,40.72,44.18
15/10/2016,572.3,22492,38.15,43
01/11/16,490.6,22982,30.81,34.72
19/12/2016,524.8,24112,39.79,46
14/01/2017,4597.6,24710,42.05,50
29/01/2017,523.4,25233,36.42,43.59
26/02/2017,517,25751,35.63,43.01
18/03/2017,607.6,26358,36.92,45
21/01/20,531,41133,42.23,54.01
03/05/17,535,27496,34,42.16
27/05/2017,548.9,28045,36.27,42
13/04/2017,603,26961,36.8,43.76
02/06/17,611.4,28657,40.48,49.63
12/06/17,,,39.39,44.79
04/07/17,520,30905,40,45.12
16/07/2017,433.1,31908,25.02,28
24/07/2017,528.3,32437,35.46,40
05/08/17,508.6,33208,39.29,44
18/08/2017,573.6,33782,33.69,38
27/08/2017,488.7,34381,38.05,42.92
04/09/17,543,34925,26.6,30
17/09/2017,461.9,35387,36.72,44.03
26/07/2017,262.6,32699,12.5,14
18/07/2017,,,39.01,44
02/10/17,488.7,35875,35,42.32
15/10/2017,468.8,36344,37.39,48.57
27/10/2017,517.6,36862,36.26,46.01
07/11/17,459.2,37321,31.33,34.9
14/11/2017,379,37705,26.93,30
26/11/2017,467.4,38173,33.01,37
05/12/17,345.4,38518,30.36,34.03
17/12/2017,546.5,3906,35.68,40
27/12/2017,484.5,39549,35.75,40
03/01/18,580,40129,37.62,43
07/02/18,610.5,42285,43.75,50
07/06/18,578.9,47674,32.73,40
07/05/18,540.7,46416,34.07,40
23/05/2018,678.7,47095,40.92,50
10/03/18,530,43498,41.69,46.65
18/06/2018,547.1,48221,37.97,46.1
03/07/18,759,48980,14.72,20
03/07/18,257,49006,24.92,30
15/07/2018,416,49422,32.95,40
24/07/2018,504,49926,32.11,40
03/08/18,577,50503,33.06,40
18/08/2018,458,50961,20.58,25
23/08/2018,476,51438,43.8,53
02/09/18,664,52902,23.9,40
20/09/2018,588.7,52691,24.75,30
30/09/2018,355,53045,33,40
16/10/2018,515.3,53561,40.19,50
03/11/18,,54105,12.52,15
22/12/2018,357,55694,24.81,26.89
31/12/2018,586.2,56280,37.25,40.01
12/12/18,603,55336,38.46,42
24/11/2018,514.8,54733,40.56,46
19/01/2019,607,56887,46.56,50
14/02/2019,691,57579,41.06,44.54
05/03/19,534,58113,40.4,45
26/06/2019,460.9,59079,15.46,20
30/03/2019,352,59433,36.76,42.35
26/03/2019,,,,20
29/06/2019,500,62852,25.89,30
19/04/2019,519,59952,36.39,43.81
28/04/2019,592,60544,35.39,43
18/03/2019,504,58618,35.27,40
25/05/2019,547,61092,34.54,42
09/06/19,561,61653,37.32,44
26/06/2019,700,62353,24.98,33.45
11/07/19,370,63222,34.16,40.07
03/08/19,522,64408,32.15,38
17/08/2019,609,65018,35.57,43
23/08/2019,275,65293,15.85,18
30/08/2019,514,65807,35.27,40
14/09/2019,421,66228,27.24,31
